Time,tension_value
2025-09-07T09:15:00,403.1
2025-09-07T09:30:00,401.9
2025-09-07T09:45:00,402.7
2025-09-07T10:00:00,401.8
2025-09-07T10:15:00,401.7
2025-09-07T10:30:00,401.4
2025-09-07T10:45:00,400.4
2025-09-07T11:00:00,400.3
2025-09-07T11:15:00,400.9
2025-09-07T11:30:00,399.2
2025-09-07T11:45:00,403.2
2025-09-07T12:00:00,403.7
2025-09-07T12:15:00,403.5
2025-09-07T12:30:00,402.8
2025-09-07T12:45:00,401.8
2025-09-07T13:00:00,401.5
2025-09-07T13:15:00,402.2
2025-09-07T13:30:00,400.5
2025-09-07T13:45:00,404.0
2025-09-07T14:00:00,408.0
2025-09-07T14:15:00,407.6
2025-09-07T14:30:00,407.4
2025-09-07T14:45:00,407.5
2025-09-07T15:00:00,407.2
2025-09-07T15:15:00,407.5
2025-09-07T15:30:00,405.9
2025-09-07T15:45:00,406.2
2025-09-07T16:00:00,406.3
2025-09-07T16:15:00,407.2
2025-09-07T16:30:00,407.4
2025-09-07T16:45:00,407.6
2025-09-07T17:00:00,408.1
2025-09-07T17:15:00,408.5
2025-09-07T17:30:00,408.8
2025-09-07T17:45:00,404.8
2025-09-07T18:00:00,404.9
2025-09-07T18:15:00,404.9
2025-09-07T18:30:00,405.6
2025-09-07T18:45:00,405.0
2025-09-07T19:00:00,402.7
2025-09-07T19:15:00,402.0
2025-09-07T19:30:00,401.6
2025-09-07T19:45:00,401.4
2025-09-07T20:00:00,400.5
2025-09-07T20:15:00,399.8
2025-09-07T20:30:00,399.9
2025-09-07T20:45:00,399.7
2025-09-07T21:00:00,399.9
2025-09-07T21:15:00,404.2
2025-09-07T21:30:00,404.8
2025-09-07T21:45:00,404.4
2025-09-07T22:00:00,404.4
2025-09-07T22:15:00,404.0
2025-09-07T22:30:00,403.6
2025-09-07T22:45:00,403.6
2025-09-07T23:00:00,403.2
2025-09-07T23:15:00,403.5
2025-09-07T23:30:00,403.9
2025-09-07T23:45:00,404.4
2025-09-08T00:00:00,403.9
2025-09-08T00:15:00,403.7
2025-09-08T00:30:00,404.3
2025-09-08T00:45:00,404.8
2025-09-08T01:00:00,405.3
2025-09-08T01:15:00,405.3
2025-09-08T01:30:00,406.3
2025-09-08T01:45:00,405.8
2025-09-08T02:00:00,406.2
2025-09-08T02:15:00,407.1
2025-09-08T02:30:00,407.1
2025-09-08T02:45:00,407.8
2025-09-08T03:00:00,407.8
2025-09-08T03:15:00,408.4
2025-09-08T03:30:00,408.8
2025-09-08T03:45:00,408.3
2025-09-08T04:00:00,408.8
2025-09-08T04:15:00,404.6
2025-09-08T04:30:00,404.5
2025-09-08T04:45:00,404.8
2025-09-08T05:00:00,405.4
2025-09-08T05:15:00,405.9
2025-09-08T05:30:00,405.3
2025-09-08T05:45:00,407.7
2025-09-08T06:00:00,408.3
2025-09-08T06:15:00,408.5
2025-09-08T06:30:00,408.4
2025-09-08T06:45:00,408.9
2025-09-08T07:00:00,408.9
2025-09-08T07:15:00,407.8
2025-09-08T07:30:00,406.6
2025-09-08T07:45:00,404.4
2025-09-08T08:00:00,402.8
2025-09-08T08:15:00,399.7
2025-09-08T08:30:00,400.4
2025-09-08T08:45:00,399.5
2025-09-08T09:00:00,403.6
2025-09-08T09:15:00,403.1
2025-09-08T09:30:00,402.5
2025-09-08T09:45:00,402.2
2025-09-08T10:00:00,402.5
2025-09-08T10:15:00,401.7
2025-09-08T10:30:00,402.1
2025-09-08T10:45:00,402.9
2025-09-08T11:00:00,402.1
2025-09-08T11:15:00,406.3
2025-09-08T11:30:00,406.0
2025-09-08T11:45:00,405.0
2025-09-08T12:00:00,404.6
2025-09-08T12:15:00,404.9
2025-09-08T12:30:00,405.6
2025-09-08T12:45:00,405.1
2025-09-08T13:00:00,403.8
2025-09-08T13:15:00,402.2
2025-09-08T13:30:00,401.8
2025-09-08T13:45:00,401.7
2025-09-08T14:00:00,401.1
2025-09-08T14:15:00,400.9
2025-09-08T14:30:00,400.3
2025-09-08T14:45:00,399.0
2025-09-08T15:00:00,403.9
2025-09-08T15:15:00,402.7
2025-09-08T15:30:00,402.8
2025-09-08T15:45:00,403.6
2025-09-08T16:00:00,403.7
2025-09-08T16:15:00,405.1
2025-09-08T16:30:00,405.9
2025-09-08T16:45:00,407.6
2025-09-08T17:00:00,409.1
2025-09-08T17:15:00,407.3
2025-09-08T17:30:00,404.1
2025-09-08T17:45:00,405.6
2025-09-08T18:00:00,401.9
2025-09-08T18:15:00,402.8
2025-09-08T18:30:00,402.5
2025-09-08T18:45:00,402.3
2025-09-08T19:00:00,403.9
2025-09-08T19:15:00,404.2
2025-09-08T19:30:00,404.8
2025-09-08T19:45:00,404.8
2025-09-08T20:00:00,404.3
2025-09-08T20:15:00,405.0
2025-09-08T20:30:00,405.3
2025-09-08T20:45:00,405.1
2025-09-08T21:00:00,405.6
2025-09-08T21:15:00,405.9
2025-09-08T21:30:00,405.7
2025-09-08T21:45:00,405.0
2025-09-08T22:00:00,405.8
2025-09-08T22:15:00,405.4
2025-09-08T22:30:00,404.5
2025-09-08T22:45:00,404.4
2025-09-08T23:00:00,404.8
2025-09-08T23:15:00,404.1
2025-09-08T23:30:00,405.4
2025-09-08T23:45:00,405.2
2025-09-09T00:00:00,406.2
2025-09-09T00:15:00,406.6
2025-09-09T00:30:00,406.9
2025-09-09T00:45:00,407.1
2025-09-09T01:00:00,407.4
2025-09-09T01:15:00,407.7
2025-09-09T01:30:00,407.4
2025-09-09T01:45:00,408.1
2025-09-09T02:00:00,408.6
2025-09-09T02:15:00,408.4
2025-09-09T02:30:00,409.2
2025-09-09T02:45:00,404.8
2025-09-09T03:00:00,404.7
2025-09-09T03:15:00,405.1
2025-09-09T03:30:00,404.9
2025-09-09T03:45:00,405.2
2025-09-09T04:00:00,405.6
2025-09-09T04:15:00,405.9
2025-09-09T04:30:00,405.4
2025-09-09T04:45:00,406.3
2025-09-09T05:00:00,406.2
2025-09-09T05:15:00,407.1
2025-09-09T05:30:00,407.6
2025-09-09T05:45:00,404.9
2025-09-09T06:00:00,406.4
2025-09-09T06:15:00,406.4
2025-09-09T06:30:00,404.1
2025-09-09T06:45:00,403.7
2025-09-09T07:00:00,403.8
2025-09-09T07:15:00,402.4
2025-09-09T07:30:00,401.7
2025-09-09T07:45:00,400.0
2025-09-09T08:00:00,403.1
2025-09-09T08:15:00,405.3
2025-09-09T08:30:00,403.9
2025-09-09T08:45:00,402.2
2025-09-09T09:00:00,402.2
2025-09-09T09:15:00,404.0
2025-09-09T09:30:00,403.9
2025-09-09T09:45:00,404.8
2025-09-09T10:00:00,403.7
2025-09-09T10:15:00,403.2
2025-09-09T10:30:00,402.5
2025-09-09T10:45:00,402.2
2025-09-09T11:00:00,402.0
2025-09-09T11:15:00,402.1
2025-09-09T11:30:00,404.2
2025-09-09T11:45:00,403.7
2025-09-09T12:00:00,403.8
2025-09-09T12:15:00,403.1
2025-09-09T12:30:00,402.2
2025-09-09T12:45:00,402.2
2025-09-09T13:00:00,402.2
2025-09-09T13:15:00,402.3
2025-09-09T13:30:00,401.9
2025-09-09T13:45:00,401.1
2025-09-09T14:00:00,401.4
2025-09-09T14:15:00,402.0
2025-09-09T14:30:00,404.7
2025-09-09T14:45:00,404.9
2025-09-09T15:00:00,405.2
2025-09-09T15:15:00,405.6
2025-09-09T15:30:00,405.6
2025-09-09T15:45:00,405.8
2025-09-09T16:00:00,406.7
2025-09-09T16:15:00,407.1
2025-09-09T16:30:00,408.6
2025-09-09T16:45:00,404.0
2025-09-09T17:00:00,405.9
2025-09-09T17:15:00,406.8
2025-09-09T17:30:00,407.7
2025-09-09T17:45:00,404.7
2025-09-09T18:00:00,405.2
2025-09-09T18:15:00,406.8
2025-09-09T18:30:00,398.7
2025-09-09T18:45:00,399.6
2025-09-09T19:00:00,401.9
2025-09-09T19:15:00,401.5
2025-09-09T19:30:00,401.9
2025-09-09T19:45:00,401.4
2025-09-09T20:00:00,401.4
2025-09-09T20:15:00,401.2
2025-09-09T20:30:00,401.6
2025-09-09T20:45:00,401.4
2025-09-09T21:00:00,401.0
2025-09-09T21:15:00,400.9
2025-09-09T21:30:00,400.9
2025-09-09T21:45:00,401.8
2025-09-09T22:00:00,401.7
2025-09-09T22:15:00,402.0
2025-09-09T22:30:00,401.0
2025-09-09T22:45:00,401.0
2025-09-09T23:00:00,401.2
2025-09-09T23:15:00,401.8
2025-09-09T23:30:00,401.7
2025-09-09T23:45:00,402.0
2025-09-10T00:00:00,401.9
2025-09-10T00:15:00,402.3
2025-09-10T00:30:00,402.7
2025-09-10T00:45:00,403.1
2025-09-10T01:00:00,403.8
2025-09-10T01:15:00,403.8
2025-09-10T01:30:00,403.7
2025-09-10T01:45:00,404.0
2025-09-10T02:00:00,404.5
2025-09-10T02:15:00,405.2
2025-09-10T02:30:00,406.3
2025-09-10T02:45:00,406.1
2025-09-10T03:00:00,406.0
2025-09-10T03:15:00,405.8
2025-09-10T03:30:00,406.5
2025-09-10T03:45:00,406.8
2025-09-10T04:00:00,407.1
2025-09-10T04:15:00,408.2
2025-09-10T04:30:00,407.9
2025-09-10T04:45:00,408.4
2025-09-10T05:00:00,409.2
2025-09-10T05:15:00,404.7
2025-09-10T05:30:00,405.0
2025-09-10T05:45:00,406.9
2025-09-10T06:00:00,408.4
2025-09-10T06:15:00,408.0
2025-09-10T06:30:00,408.2
2025-09-10T06:45:00,407.6
2025-09-10T07:00:00,406.9
2025-09-10T07:15:00,406.1
2025-09-10T07:30:00,405.5
2025-09-10T07:45:00,403.1
2025-09-10T08:00:00,402.3
2025-09-10T08:15:00,401.0
2025-09-10T08:30:00,399.7
2025-09-10T08:45:00,399.7
2025-09-10T09:00:00,403.0
2025-09-10T09:15:00,402.6
2025-09-10T09:30:00,401.0
2025-09-10T09:45:00,400.7
2025-09-10T10:00:00,400.4
2025-09-10T10:15:00,400.6
2025-09-10T10:30:00,404.8
2025-09-10T10:45:00,403.5
2025-09-10T11:00:00,405.7
2025-09-10T11:15:00,405.1
2025-09-10T11:30:00,404.4
2025-09-10T11:45:00,404.3
2025-09-10T12:00:00,403.1
2025-09-10T12:15:00,403.4
2025-09-10T12:30:00,402.7
2025-09-10T12:45:00,402.3
2025-09-10T13:00:00,401.9
2025-09-10T13:15:00,400.2
2025-09-10T13:30:00,399.1
2025-09-10T13:45:00,403.7
2025-09-10T14:00:00,403.6
2025-09-10T14:15:00,403.7
2025-09-10T14:30:00,403.5
2025-09-10T14:45:00,402.8
2025-09-10T15:00:00,403.3
2025-09-10T15:15:01,403.9
2025-09-10T15:30:00,404.1
2025-09-10T15:45:00,403.4
2025-09-10T16:00:00,404.2
2025-09-10T16:15:00,405.7
2025-09-10T16:30:00,406.2
2025-09-10T16:45:00,409.0
2025-09-10T17:00:00,406.3
2025-09-10T17:15:00,408.4
2025-09-10T17:30:00,405.7
2025-09-10T17:45:00,406.4
2025-09-10T18:00:00,407.6
2025-09-10T18:15:00,408.2
2025-09-10T18:30:00,408.6
2025-09-10T18:45:00,408.2
2025-09-10T19:00:00,406.5
2025-09-10T19:15:00,401.4
2025-09-10T19:30:00,402.0
2025-09-10T19:45:00,403.0
2025-09-10T20:00:00,403.1
2025-09-10T20:15:00,403.4
2025-09-10T20:30:00,403.6
2025-09-10T20:45:00,404.4
2025-09-10T21:00:00,403.4
2025-09-10T21:15:00,403.1
2025-09-10T21:30:00,402.2
2025-09-10T21:45:00,402.9
2025-09-10T22:00:00,404.3
2025-09-10T22:15:00,402.9
2025-09-10T22:30:00,403.0
2025-09-10T22:45:00,403.2
2025-09-10T23:00:00,404.2
2025-09-10T23:15:00,403.9
2025-09-10T23:30:00,404.3
2025-09-10T23:45:00,404.7
2025-09-11T00:00:00,405.5
2025-09-11T00:15:00,406.4
2025-09-11T00:30:00,406.5
2025-09-11T00:45:00,406.8
2025-09-11T01:00:00,407.4
2025-09-11T01:15:00,407.3
2025-09-11T01:30:00,407.4
2025-09-11T01:45:00,407.3
2025-09-11T02:00:00,407.9
2025-09-11T02:15:00,407.5
2025-09-11T02:30:00,408.2
2025-09-11T02:45:00,406.7
2025-09-11T03:00:00,407.4
2025-09-11T03:15:00,408.5
2025-09-11T03:30:00,408.3
2025-09-11T03:45:00,408.2
2025-09-11T04:00:00,409.3
2025-09-11T04:15:00,408.3
2025-09-11T04:30:00,408.8
2025-09-11T04:45:00,408.9
2025-09-11T05:00:00,409.4
2025-09-11T05:15:00,404.6
2025-09-11T05:30:00,405.7
2025-09-11T05:45:00,408.3
2025-09-11T06:00:00,405.1
2025-09-11T06:15:00,404.2
2025-09-11T06:30:00,403.3
2025-09-11T06:45:00,404.0
2025-09-11T07:00:00,403.5
2025-09-11T07:15:00,401.1
2025-09-11T07:30:00,401.8
2025-09-11T07:45:00,399.9
2025-09-11T08:00:00,404.0
2025-09-11T08:15:00,402.2
2025-09-11T08:30:00,400.0
2025-09-11T08:45:00,404.0
2025-09-11T09:00:00,403.8
2025-09-11T09:15:00,403.2
2025-09-11T09:30:00,407.5
2025-09-11T09:45:00,406.7
2025-09-11T10:00:00,406.0
2025-09-11T10:15:00,405.3
2025-09-11T10:30:00,406.5
2025-09-11T10:45:00,406.4
2025-09-11T11:00:00,406.8
2025-09-11T11:15:00,406.4
2025-09-11T11:30:00,406.1
2025-09-11T11:45:00,406.5
2025-09-11T12:00:00,405.7
2025-09-11T12:15:00,406.5
2025-09-11T12:30:00,406.9
2025-09-11T12:45:00,406.3
2025-09-11T13:00:00,407.3
2025-09-11T13:15:00,406.0
2025-09-11T13:30:00,405.1
2025-09-11T13:45:00,405.5
2025-09-11T14:00:00,405.1
2025-09-11T14:15:00,403.3
2025-09-11T14:30:00,402.7
2025-09-11T14:45:00,402.9
2025-09-11T15:00:00,402.5
2025-09-11T15:15:00,401.9
2025-09-11T15:30:00,402.3
2025-09-11T15:45:00,401.6
2025-09-11T16:00:00,402.4
2025-09-11T16:15:00,402.9
2025-09-11T16:30:00,403.4
2025-09-11T16:45:00,403.8
2025-09-11T17:00:00,404.9
2025-09-11T17:15:00,406.9
2025-09-11T17:30:00,408.8
2025-09-11T17:45:00,400.6
2025-09-11T18:00:00,400.4
2025-09-11T18:15:00,400.7
2025-09-11T18:30:00,399.8
2025-09-11T18:45:00,400.0
2025-09-11T19:00:00,400.7
2025-09-11T19:15:00,401.1
2025-09-11T19:30:00,400.8
2025-09-11T19:45:00,401.9
2025-09-11T20:00:00,401.6
2025-09-11T20:15:00,403.2
2025-09-11T20:30:00,402.9
2025-09-11T20:45:00,404.1
2025-09-11T21:00:00,404.4
2025-09-11T21:15:00,404.6
2025-09-11T21:30:00,403.9
2025-09-11T21:45:00,405.4
2025-09-11T22:00:00,405.6
2025-09-11T22:15:00,405.7
2025-09-11T22:30:00,406.6
2025-09-11T22:45:00,405.7
2025-09-11T23:00:00,405.4
2025-09-11T23:15:00,406.5
2025-09-11T23:30:00,406.8
2025-09-11T23:45:00,405.9
2025-09-12T00:00:00,407.2
2025-09-12T00:15:00,407.8
2025-09-12T00:30:00,408.0
2025-09-12T00:45:00,408.5
2025-09-12T01:00:00,408.4
2025-09-12T01:15:00,408.0
2025-09-12T01:30:00,407.9
2025-09-12T01:45:00,408.0
2025-09-12T02:00:00,407.5
2025-09-12T02:15:00,408.0
2025-09-12T02:30:00,408.3
2025-09-12T02:45:00,408.2
2025-09-12T03:00:00,408.5
2025-09-12T03:15:00,408.7
2025-09-12T03:30:00,409.1
2025-09-12T03:45:00,404.2
2025-09-12T04:00:00,404.4
2025-09-12T04:15:00,404.5
2025-09-12T04:30:00,405.2
2025-09-12T04:45:00,406.0
2025-09-12T05:00:00,406.0
2025-09-12T05:15:00,407.7
2025-09-12T05:30:00,407.0
2025-09-12T05:45:00,405.2
2025-09-12T06:00:00,405.3
2025-09-12T06:15:00,405.7
2025-09-12T06:30:00,404.5
2025-09-12T06:45:00,403.9
2025-09-12T07:00:00,402.7
2025-09-12T07:15:00,400.8
2025-09-12T07:30:00,400.4
2025-09-12T07:45:00,403.5
2025-09-12T08:00:00,402.8
2025-09-12T08:15:00,400.4
2025-09-12T08:30:00,399.5
2025-09-12T08:45:00,404.8
2025-09-12T09:00:00,404.4
2025-09-12T09:15:00,404.5
2025-09-12T09:30:00,404.4
2025-09-12T09:45:00,404.2
2025-09-12T10:00:00,404.3
2025-09-12T10:15:00,403.8
2025-09-12T10:30:00,403.2
2025-09-12T10:45:00,402.8
2025-09-12T11:00:00,402.8
2025-09-12T11:15:00,402.4
2025-09-12T11:30:00,402.1
2025-09-12T11:45:00,402.2
2025-09-12T12:00:00,402.1
2025-09-12T12:15:00,403.3
2025-09-12T12:30:00,403.2
2025-09-12T12:45:00,403.6
2025-09-12T13:00:00,403.4
2025-09-12T13:15:00,403.2
2025-09-12T13:30:00,402.5
2025-09-12T13:45:00,402.0
2025-09-12T14:00:00,401.7
